n, time
94800,8.088
94900,8.149
95000,8.168
95100,8.21
95200,8.23
95300,8.149
95400,8.233
95500,8.43
95600,8.218
95700,8.251
95800,8.579
95900,8.968
96000,8.906
96100,9.075
96200,8.539
96300,9.066
96400,8.536
96500,8.481
96600,8.416
96700,8.513
96800,8.472
96900,8.611
97000,8.62
97100,8.64
97200,8.648
97300,8.685
97400,8.689
97500,8.745
97600,8.769
97700,8.904
97800,8.783
97900,8.756
98000,8.775
98100,8.688
98200,8.718
98300,8.802
98400,8.803
98500,8.917
98600,8.738
98700,8.766
98800,9.191
98900,8.949
99000,9.005
99100,9.009
99200,8.954
99300,9.082
99400,9.539
99500,9.376
99600,9.166
99700,9.282
99800,9.238
99900,9.223
